tracer,zmin,zmax,N_real,median_real,median_model,RMS_real,RMS_model,fc_real,fc_model
LRG,0.4,1.1,207651,40.67544104972405,263.403283470789,82.12357045851664,375.4859752295102,0.4594247078029964,1.488555316372182
LRG,0.4,0.5,22137,24.335980480862673,419.80409045214606,52.509883424428224,480.79570185998637,0.3613859149839635,10.981614491575192
LRG,0.5,0.6,29570,29.229831392563774,432.0326751987494,57.16405321824444,487.7825075214719,0.5444707473791005,11.985120054108894
LRG,0.6,0.7,35593,34.57728035903761,341.235821146075,67.13101230523208,444.4305003445539,0.42705026269210233,5.118984069901385
LRG,0.7,0.8,40449,44.156136923552545,350.0730293782834,82.25071127713646,449.68956581389136,0.5661450221266285,5.827090904595911
LRG,0.8,0.9,40561,53.82276844986485,321.57675853470425,96.56948359218644,429.33986351975784,0.3426937205690195,3.9939843692216663
LRG,0.9,1.0,27244,58.66946806531565,424.4852246499135,104.482024921232,482.988527709157,0.5102040816326531,11.466744971369842
LRG,1.0,1.1,12097,59.792368655924555,548.2340794884462,104.8669943217438,520.1643533480221,0.4463916673555427,22.21211870711747
ELG,0.8,1.6,481085,8.583098001460657,149.4075684457471,28.15987829202078,221.12227888241526,0.23072845754908175,0.23883513308459006
ELG,0.8,0.9,72185,5.219015524049012,169.54732382271993,17.09343458798413,253.03539816423378,0.09974371406801967,0.10805569024035465
ELG,0.9,1.0,84756,6.5792987501212155,178.42354377656318,20.17829195035636,265.6238204084158,0.12506489216102695,0.1498418990985889
ELG,1.0,1.1,72966,9.137208213514405,219.96529851744782,25.638016099478303,322.12683605506413,0.17816517282021763,0.3947043828632514
ELG,1.1,1.2,65846,8.873318223711873,182.30153101694833,25.241630136704348,269.0046951920466,0.17616863590802784,0.20502384351365308
ELG,1.2,1.3,59131,9.121208757753719,191.73292097867215,25.989851599690322,283.8948296793444,0.18940995416955572,0.22492432057634743
ELG,1.3,1.4,53176,11.113066664355998,291.1033583731999,34.086725308799636,401.5458806582261,0.5679253798706183,2.5707085903415074
ELG,1.4,1.5,45730,11.08296303065655,323.21551008600375,34.109197560380586,430.175676456993,0.35425322545375026,3.9427071944019247
ELG,1.5,1.6,27295,20.339692176216378,343.5270388448919,54.58643028642996,441.9391432506568,0.40300421322586555,5.198754350613665
QSO,0.8,2.1,252633,90.96354368041621,755.4043237476229,471.2414468029257,1159.6420673419602,0.6056215933785372,0.5961216468157366
QSO,0.8,0.9,9416,16.258851701553642,3415.1139572257107,149.2017653246121,4384.14728177785,1.4762107051826678,6.032285471537808
QSO,0.9,1.0,11381,26.719198212686095,2925.873110658245,247.64447608558768,4028.4733295904152,1.2476935242948775,3.2861787189174945
QSO,1.0,1.1,13868,49.2445270019101,1671.3191420215917,262.30626816772633,2445.326348313953,0.7859821171041247,0.7643495817709836
QSO,1.1,1.2,16694,47.57423579180026,1450.0674445944428,253.38522511342546,2131.5728489697503,0.6349586677848329,0.5870372588954115
QSO,1.2,1.3,17523,49.71153148146465,1517.38035082871,288.33635204200584,2234.7093886553976,0.7647092392855105,0.667693888032871
QSO,1.3,1.4,18232,59.40063349336373,941.5491961531209,414.7572906531888,1423.466729221776,0.4552435278630978,0.42781921895568237
QSO,1.4,1.5,19090,93.8458741785111,1236.989571303162,421.7680115421099,1829.9179778427717,0.9114719748559456,0.8171817705605029
QSO,1.5,1.6,20042,140.8241800589832,1015.8450492141228,497.86097367409997,1514.1541444818738,0.818281608621894,0.7035226025346772
QSO,1.6,1.7,25251,171.50111813964577,726.2451942859245,567.4576649577082,1121.10472582601,0.45938774701992,0.42374559423389174
QSO,1.7,1.8,25317,168.24366372799244,651.7868300251341,597.7713910982126,1040.9944526562097,0.40289133783623654,0.3673421021448039
QSO,1.8,1.9,24265,155.78360897639502,608.0383214757426,580.7475025102048,980.617555569276,0.3544199464248918,0.32145064908304144
QSO,1.9,2.0,22307,128.44496968936713,575.0748061010862,488.41979194876944,912.4857812674088,0.35414892186309227,0.3272515353924777
QSO,2.0,2.1,29247,119.67548825410172,551.5803421787604,568.8717418505873,930.0197900972524,0.32823879372243303,0.29404725270967963
