tracer,zmin,zmax,N_real,median_real,median_model,RMS_real,RMS_model,fc_real,fc_model
LRG,0.4,1.1,207651,40.67544104972405,39.76658587250417,82.12357045851664,81.44260141152236,0.4594247078029964,0.47579833470582855
LRG,0.4,0.5,22137,24.335980480862673,23.776835376257164,52.509883424428224,51.13521396624543,0.3613859149839635,0.35235126710936443
LRG,0.5,0.6,29570,29.229831392563774,28.530267821536416,57.16405321824444,56.535377330692526,0.5444707473791005,0.5478525532634426
LRG,0.6,0.7,35593,34.57728035903761,33.95646238553316,67.13101230523208,66.9753181405228,0.42705026269210233,0.47762200432669344
LRG,0.7,0.8,40449,44.156136923552545,43.034202458702055,82.25071127713646,82.10895776299837,0.5661450221266285,0.618062251229944
LRG,0.8,0.9,40561,53.82276844986485,52.771136760042936,96.56948359218644,96.16266791164112,0.3426937205690195,0.39446759202189297
LRG,0.9,1.0,27244,58.66946806531565,57.49635324984686,104.482024921232,103.64002623650883,0.5102040816326531,0.5065335486712671
LRG,1.0,1.1,12097,59.792368655924555,58.725346259127974,104.8669943217438,102.87745343713475,0.4463916673555427,0.4463916673555427
ELG,0.8,1.6,481085,8.583098001460657,8.423465898702357,28.15987829202078,28.051084422810845,0.23072845754908175,0.21950382988453185
ELG,0.8,0.9,72185,5.219015524049012,5.077800160475002,17.09343458798413,17.173398194826785,0.09974371406801967,0.09420239661979636
ELG,0.9,1.0,84756,6.5792987501212155,6.423335213864643,20.17829195035636,20.13572791994997,0.12506489216102695,0.11798574732172354
ELG,1.0,1.1,72966,9.137208213514405,8.908828913628925,25.638016099478303,25.615041213353877,0.17816517282021763,0.17816517282021763
ELG,1.1,1.2,65846,8.873318223711873,8.650738668994052,25.241630136704348,25.376093368348467,0.17616863590802784,0.17313124563375148
ELG,1.2,1.3,59131,9.121208757753719,8.87495493053455,25.989851599690322,26.29655072172637,0.18940995416955572,0.17249835111870254
ELG,1.3,1.4,53176,11.113066664355998,10.794128510050493,34.086725308799636,34.09406801608941,0.5679253798706183,0.5829697607943434
ELG,1.4,1.5,45730,11.08296303065655,10.865812590321084,34.109197560380586,33.907053270534156,0.35425322545375026,0.3979881915591515
ELG,1.5,1.6,27295,20.339692176216378,19.90532574702213,54.58643028642996,54.470814606001746,0.40300421322586555,0.42498626122000366
QSO,0.8,2.1,252633,90.96354368041621,88.80505063045061,471.2414468029257,474.9205005383344,0.6056215933785372,0.6182881887956047
QSO,0.8,0.9,9416,16.258851701553642,15.763897594248764,149.2017653246121,103.17476807236137,1.4762107051826678,1.274426508071368
QSO,0.9,1.0,11381,26.719198212686095,25.69778851068606,247.64447608558768,201.7946025287889,1.2476935242948775,1.1422546349178455
QSO,1.0,1.1,13868,49.2445270019101,47.87431844263336,262.30626816772633,292.27117736051224,0.7859821171041247,0.6633977502163254
QSO,1.1,1.2,16694,47.57423579180026,46.34011053496364,253.38522511342546,254.29279873083445,0.6349586677848329,0.5990176111177669
QSO,1.2,1.3,17523,49.71153148146465,48.36039169905425,288.33635204200584,301.47882886221896,0.7647092392855105,0.6505735319294641
QSO,1.3,1.4,18232,59.40063349336373,58.01508331772452,414.7572906531888,359.78505724981085,0.4552435278630978,0.4497586660816147
QSO,1.4,1.5,19090,93.8458741785111,91.3966990777905,421.7680115421099,445.83779018975076,0.9114719748559456,0.7228915662650602
QSO,1.5,1.6,20042,140.8241800589832,137.1663139418954,497.86097367409997,494.37357733666687,0.818281608621894,0.6985330805308851
QSO,1.6,1.7,25251,171.50111813964577,168.2866101547503,567.4576649577082,541.0269769134941,0.45938774701992,0.47522870381371035
QSO,1.7,1.8,25317,168.24366372799244,165.03067091128318,597.7713910982126,595.518759206463,0.40289133783623654,0.38709167752893314
QSO,1.8,1.9,24265,155.78360897639502,153.62419469508737,580.7475025102048,567.8499152251361,0.3544199464248918,0.3461776220894292
QSO,1.9,2.0,22307,128.44496968936713,125.12088982907568,488.41979194876944,469.36459414051757,0.35414892186309227,0.34966602411798986
QSO,2.0,2.1,29247,119.67548825410172,116.27206652039926,568.8717418505873,558.260877825662,0.32823879372243303,0.35559202653263583
