tracer,N,method,med_mean,med_std,rms_mean,rms_std,fc_mean,fc_std
BGS_z0.1_0.4,363006,bootstrap,13.964294596087136,0.03783253588473623,33.97553939614882,0.10398328938067695,0.5444813584348468,0.012081989748605937
BGS_z0.1_0.2,126293,bootstrap,9.588957797545486,0.03874542596892482,22.55887667277564,0.16542905347811057,0.36027333264709843,0.016774893959195115
BGS_z0.2_0.3,140722,bootstrap,15.430404797039845,0.06506828364682228,34.69476280524236,0.15999648392559054,0.5976322110259945,0.020526004478359776
BGS_z0.3_0.4,95991,bootstrap,20.818226451660667,0.11179953036025646,43.96656176071042,0.22041129918995814,0.7094415101415757,0.027282167221004214
LRG_z0.4_1.1,207696,bootstrap,42.66531720033921,0.13109782108461,82.15004093464178,0.27450024587357835,0.4752137739773515,0.015021997642057635
LRG_z0.4_0.5,22143,bootstrap,25.543444129926666,0.23483469403011467,52.47432804680466,1.2252271165610629,0.3748362913787653,0.04111328395552709
LRG_z0.5_0.6,29584,bootstrap,30.63939109858392,0.2334390518747653,57.07250207572846,0.6315356800052893,0.5949161709031909,0.0449506195773036
LRG_z0.6_0.7,35590,bootstrap,36.29528618901071,0.25957199248328416,67.24852734442541,0.6112820353407269,0.3652711435796572,0.03196230633100251
LRG_z0.7_0.8,40438,bootstrap,46.26012052442474,0.32922141982501024,82.27092384982649,0.6166612233278741,0.5860823977446956,0.03801812792626566
LRG_z0.8_0.9,40598,bootstrap,56.484758548495805,0.3664624533302048,96.56716218383184,0.617914285466716,0.40149761071973983,0.03160795999179692
LRG_z0.9_1.0,27242,bootstrap,61.55758050100489,0.49560135130099203,104.54301250387165,0.7657243219389285,0.5579619704867483,0.04580684597421493
LRG_z1.0_1.1,12101,bootstrap,62.66516529436405,0.6395841216012469,104.97323780456195,1.083484886973703,0.380133873233617,0.05568386041582772
ELG_z0.8_1.6,481072,bootstrap,8.998305868737344,0.019925495172596418,27.962314684687385,0.09182177724047161,0.23115043070475938,0.0069577329207128995
ELG_z0.8_0.9,72189,bootstrap,5.471962478359497,0.03137683233751912,17.08287500252964,0.1468346553335289,0.09004141905276428,0.011301138811880674
ELG_z0.9_1.0,84761,bootstrap,6.8978547158060595,0.03700538485792899,19.990334335495863,0.17473984049946997,0.13803518127440687,0.012695942333397272
ELG_z1.0_1.1,72964,bootstrap,9.579908135503365,0.05301422435720535,25.68162938245554,0.2098430214282713,0.17817005646620251,0.015458187751738123
ELG_z1.1_1.2,65835,bootstrap,9.302458759391184,0.04893097095835358,25.26354886950242,0.19340996287662515,0.14733804207488418,0.014687213512148297
ELG_z1.2_1.3,59113,bootstrap,9.563202102016328,0.049699437790470986,25.961734794237525,0.21265772767225063,0.18270092872972105,0.017335651735429794
ELG_z1.3_1.4,53215,bootstrap,11.665184452807525,0.07919729771455034,33.3555637788488,0.27733835406135665,0.6257634125716434,0.034810668274781326
ELG_z1.4_1.5,45692,bootstrap,11.608456126231943,0.0734513648319956,33.74269397582772,0.3137838913431073,0.2932679681344656,0.02541904444214965
ELG_z1.5_1.6,27303,bootstrap,21.348875579870725,0.21313445653331606,54.204981980220346,0.4717515570603658,0.4688129509577702,0.04150798592230327
QSO_z0.8_2.1,252623,bootstrap,95.37194154376978,0.3252560042641901,473.8579709737662,3.3631982954100854,0.5957493973232841,0.015411928494943727
QSO_z0.8_0.9,9388,bootstrap,16.972749914183993,0.2557541235516648,151.69484692475535,27.491191838544687,1.2995313165743503,0.11536972812504673
QSO_z0.9_1.0,11410,bootstrap,28.067503921767536,0.4048197203025747,262.04357049146654,25.76588393871196,1.4198071866783524,0.1117736245025727
QSO_z1.0_1.1,13855,bootstrap,51.662855507931106,0.5542637506236021,262.398105841488,15.93193534045955,0.7939372067845544,0.07595409437674186
QSO_z1.1_1.2,16665,bootstrap,49.68118770365737,0.5609414830646634,242.6422855984522,14.559576025606672,0.46204620462046203,0.05177095512806113
QSO_z1.2_1.3,17552,bootstrap,52.33163430059327,0.5696830083580563,309.5197271063206,17.63933866463166,0.8375113947128532,0.06923718337696431
QSO_z1.3_1.4,18218,bootstrap,62.20052127565121,0.6944470489577306,384.8768356295267,16.72863601362057,0.4665715226698869,0.04975415231371314
QSO_z1.4_1.5,19074,bootstrap,98.45866566670789,1.1977974873479071,438.5575733114207,16.62668653725561,0.7968962986264025,0.06557931744298562
QSO_z1.5_1.6,20016,bootstrap,147.1466735938107,1.471844210136797,488.228780634436,9.490793736629056,0.759392486011191,0.062240678602864495
QSO_z1.6_1.7,25328,bootstrap,179.96599933077187,1.6653690195914204,569.5933309442986,8.620283941006734,0.4264055590650663,0.04130447734385665
QSO_z1.7_1.8,25216,bootstrap,176.1696754748018,1.6251433104385362,598.179033585446,8.727557006534727,0.4124365482233503,0.04121519861322976
QSO_z1.8_1.9,24284,bootstrap,163.1158511357489,1.481465918263825,576.696476396062,8.724981641366783,0.3706143963103278,0.037835897393193714
QSO_z1.9_2.0,22320,bootstrap,134.8159096321054,1.3292523167540815,505.7795904731054,12.231762476563143,0.35842293906810035,0.04067670843971831
QSO_z2.0_2.1,29297,bootstrap,125.66272486796302,1.1766483565705546,579.5052876382038,10.551147781611176,0.3959449773014302,0.03666013158944131
QSO_3cut_z0.8_2.1,252623,bootstrap,95.37194154376978,0.3252560042641901,473.8579709737662,3.3631982954100854,0.5957493973232841,0.015411928494943727
QSO_3cut_z0.8_0.9,9388,bootstrap,16.972749914183993,0.2557541235516648,151.69484692475535,27.491191838544687,1.2995313165743503,0.11536972812504673
QSO_3cut_z0.9_1.0,11410,bootstrap,28.067503921767536,0.4048197203025747,262.04357049146654,25.76588393871196,1.4198071866783524,0.1117736245025727
QSO_3cut_z1.0_1.1,13855,bootstrap,51.662855507931106,0.5542637506236021,262.398105841488,15.93193534045955,0.7939372067845544,0.07595409437674186
QSO_3cut_z1.1_1.2,16665,bootstrap,49.68118770365737,0.5609414830646634,242.6422855984522,14.559576025606672,0.46204620462046203,0.05177095512806113
QSO_3cut_z1.2_1.3,17552,bootstrap,52.33163430059327,0.5696830083580563,309.5197271063206,17.63933866463166,0.8375113947128532,0.06923718337696431
QSO_3cut_z1.3_1.4,18218,bootstrap,62.20052127565121,0.6944470489577306,384.8768356295267,16.72863601362057,0.4665715226698869,0.04975415231371314
QSO_3cut_z1.4_1.5,19074,bootstrap,98.45866566670789,1.1977974873479071,438.5575733114207,16.62668653725561,0.7968962986264025,0.06557931744298562
QSO_3cut_z1.5_1.6,20016,bootstrap,147.1466735938107,1.471844210136797,488.228780634436,9.490793736629056,0.759392486011191,0.062240678602864495
QSO_3cut_z1.6_1.7,25328,bootstrap,179.96599933077187,1.6653690195914204,569.5933309442986,8.620283941006734,0.4264055590650663,0.04130447734385665
QSO_3cut_z1.7_1.8,25216,bootstrap,176.1696754748018,1.6251433104385362,598.179033585446,8.727557006534727,0.4124365482233503,0.04121519861322976
QSO_3cut_z1.8_1.9,24284,bootstrap,163.1158511357489,1.481465918263825,576.696476396062,8.724981641366783,0.3706143963103278,0.037835897393193714
QSO_3cut_z1.9_2.0,22320,bootstrap,134.8159096321054,1.3292523167540815,505.7795904731054,12.231762476563143,0.35842293906810035,0.04067670843971831
QSO_3cut_z2.0_2.1,29297,bootstrap,125.66272486796302,1.1766483565705546,579.5052876382038,10.551147781611176,0.3959449773014302,0.03666013158944131
