tracer,zmin,zmax,N_real,median_real,median_model,RMS_real,RMS_model,fc_real,fc_model
LRG,0.4,1.1,207651,40.67544104972405,264.2193857497534,82.12357045851664,375.45464638037896,0.4594247078029964,1.482776389230006
LRG,0.4,0.5,22137,24.335980480862673,419.6837486962272,52.509883424428224,483.14637900022325,0.3613859149839635,11.333965758684556
LRG,0.5,0.6,29570,29.229831392563774,430.2274702357935,57.16405321824444,488.4808917928978,0.5444707473791005,12.303009807237064
LRG,0.6,0.7,35593,34.57728035903761,340.60892062759996,67.13101230523208,445.56368975767145,0.42705026269210233,5.155508105526367
LRG,0.7,0.8,40449,44.156136923552545,350.3536745513052,82.25071127713646,451.0310764805228,0.5661450221266285,5.7949516675319535
LRG,0.8,0.9,40561,53.82276844986485,322.005597203222,96.56948359218644,430.0909709974105,0.3426937205690195,4.01370774882276
LRG,0.9,1.0,27244,58.66946806531565,423.4841544669564,104.482024921232,484.7180204945192,0.5102040816326531,11.679635883130231
LRG,1.0,1.1,12097,59.792368655924555,544.6352472681917,104.8669943217438,516.0216392609761,0.4463916673555427,22.732908985698934
ELG,0.8,1.6,481085,8.583098001460657,149.67822543185238,28.15987829202078,221.42725269642753,0.23072845754908175,0.22906554974692622
ELG,0.8,0.9,72185,5.219015524049012,169.9318008065552,17.09343458798413,253.1330775736595,0.09974371406801967,0.09281706725774053
ELG,0.9,1.0,84756,6.5792987501212155,179.55969953300462,20.17829195035636,265.9792930627722,0.12506489216102695,0.14748218415215442
ELG,1.0,1.1,72966,9.137208213514405,220.45410881039956,25.638016099478303,321.49623951268717,0.17816517282021763,0.4111503988158869
ELG,1.1,1.2,65846,8.873318223711873,182.81609391322507,25.241630136704348,268.7514446634523,0.17616863590802784,0.19135558727940954
ELG,1.2,1.3,59131,9.121208757753719,191.8892530715126,25.989851599690322,283.7725856636373,0.18940995416955572,0.21308619844075022
ELG,1.3,1.4,53176,11.113066664355998,292.39936942399436,34.086725308799636,401.9237357120393,0.5679253798706183,2.561305852264179
ELG,1.4,1.5,45730,11.08296303065655,324.71170353128866,34.109197560380586,430.82435490799054,0.35425322545375026,3.977695167286245
ELG,1.5,1.6,27295,20.339692176216378,342.8692538091311,54.58643028642996,443.8877050124101,0.40300421322586555,5.286682542590218
QSO,0.8,2.1,252633,90.96354368041621,757.6259757776895,471.2414468029257,1158.5315948262687,0.6056215933785372,0.6048299311649705
QSO,0.8,0.9,9416,16.258851701553642,3444.0795755399686,149.2017653246121,4417.715823606011,1.4762107051826678,5.851741716227698
QSO,0.9,1.0,11381,26.719198212686095,2934.611144991486,247.64447608558768,4040.5765080819433,1.2476935242948775,3.084087514278183
QSO,1.0,1.1,13868,49.2445270019101,1655.899102788564,262.30626816772633,2441.4050842147226,0.7859821171041247,0.7499278915488895
QSO,1.1,1.2,16694,47.57423579180026,1427.8705399701084,253.38522511342546,2119.5767291449656,0.6349586677848329,0.6768899005630766
QSO,1.2,1.3,17523,49.71153148146465,1502.1789813879013,288.33635204200584,2223.3236816570147,0.7647092392855105,0.7704160246533128
QSO,1.3,1.4,18232,59.40063349336373,931.2782465956329,414.7572906531888,1429.7856189487268,0.4552435278630978,0.4058797718297499
QSO,1.4,1.5,19090,93.8458741785111,1222.530697165328,421.7680115421099,1830.3057873433079,0.9114719748559456,0.9062336301728653
QSO,1.5,1.6,20042,140.8241800589832,1006.829017284287,497.86097367409997,1512.426134277834,0.818281608621894,0.8432292186408542
QSO,1.6,1.7,25251,171.50111813964577,727.0388073318372,567.4576649577082,1131.719469831996,0.45938774701992,0.4554275078214724
QSO,1.7,1.8,25317,168.24366372799244,653.2236406426366,597.7713910982126,1051.0579198075875,0.40289133783623654,0.38314176245210724
QSO,1.8,1.9,24265,155.78360897639502,607.5477178488898,580.7475025102048,991.8240885821292,0.3544199464248918,0.3420564599216979
QSO,1.9,2.0,22307,128.44496968936713,574.5851888979906,488.41979194876944,923.6556353810892,0.35414892186309227,0.34518312637288745
QSO,2.0,2.1,29247,119.67548825410172,550.3966563175325,568.8717418505873,935.1674888545285,0.32823879372243303,0.2906280986084043
